,Amygdala (AAL) (R),Angular gyrus (AAL) (L),Angular gyrus (AAL) (R),Anterior cingulate and paracingulate gyri (AAL) (L),Anterior cingulate and paracingulate gyri (AAL) (R),Calcarine fissure and surrounding cortex (AAL) (L),Calcarine fissure and surrounding cortex (AAL) (R),Caudate nucleus (AAL) (L),Caudate nucleus (AAL) (R),Cerebellum_10 (AAL) (L),Cerebellum_10 (AAL) (R),Cerebellum_3 (AAL) (L),Cerebellum_3 (AAL) (R),Cerebellum_4_5 (AAL) (L),Cerebellum_4_5 (AAL) (R),Cerebellum_6 (AAL) (L),Cerebellum_6 (AAL) (R),Cerebellum_7b (AAL) (L),Cerebellum_7b (AAL) (R),Cerebellum_8 (AAL) (L),Cerebellum_8 (AAL) (R),Cerebellum_9 (AAL) (L),Cerebellum_9 (AAL) (R),Cerebellum_Crus1 (AAL) (L),Cerebellum_Crus1 (AAL) (R),Cerebellum_Crus2 (AAL) (L),Cerebellum_Crus2 (AAL) (R),Cuneus (AAL) (L),Cuneus (AAL) (R),Fusiform gyrus (AAL) (L),Fusiform gyrus (AAL) (R),Gyrus rectus (AAL) (L),Gyrus rectus (AAL) (R),Heschl gyrus (AAL) (L),Heschl gyrus (AAL) (R),Hippocampus (AAL) (L),Hippocampus (AAL) (R),"Inferior frontal gyrus, opercular part (AAL) (L)","Inferior frontal gyrus, opercular part (AAL) (R)","Inferior frontal gyrus, orbital part (AAL) (L)","Inferior frontal gyrus, orbital part (AAL) (R)","Inferior frontal gyrus, triangular part (AAL) (L)","Inferior frontal gyrus, triangular part (AAL) (R)",Inferior occipital gyrus (AAL) (L),Inferior occipital gyrus (AAL) (R),"Inferior parietal, but supramarginal and angular gyri (AAL) (L)","Inferior parietal, but supramarginal and angular gyri (AAL) (R)",Inferior temporal gyrus (AAL) (L),Inferior temporal gyrus (AAL) (R),Insula (AAL) (L),Insula (AAL) (R),"Lenticular nucleus, pallidum (AAL) (L)","Lenticular nucleus, pallidum (AAL) (R)","Lenticular nucleus, putamen (AAL) (L)","Lenticular nucleus, putamen (AAL) (R)",Lingual gyrus (AAL) (L),Lingual gyrus (AAL) (R),Middle cingulate and paracingulate gyri (AAL) (L),Middle cingulate and paracingulate gyri (AAL) (R),Middle frontal gyrus (AAL) (L),Middle frontal gyrus (AAL) (R),"Middle frontal gyrus, orbital part (AAL) (L)","Middle frontal gyrus, orbital part (AAL) (R)",Middle occipital gyrus (AAL) (L),Middle occipital gyrus (AAL) (R),Middle temporal gyrus (AAL) (L),Middle temporal gyrus (AAL) (R),Olfactory cortex (AAL) (L),Olfactory cortex (AAL) (R),Paracentral lobule (AAL) (L),Paracentral lobule (AAL) (R),Parahippocampal gyrus (AAL) (L),Parahippocampal gyrus (AAL) (R),Postcentral gyrus (AAL) (L),Postcentral gyrus (AAL) (R),Posterior cingulate and paracingulate gyri (AAL) (L),Posterior cingulate and paracingulate gyri (AAL) (R),Precentral gyrus (AAL) (L),Precentral gyrus (AAL) (R),Precuneus (AAL) (L),Precuneus (AAL) (R),Rolandic operculum (AAL) (L),Rolandic operculum (AAL) (R),"Superior frontal gyrus, dorsolateral (AAL) (L)","Superior frontal gyrus, dorsolateral (AAL) (R)","Superior frontal gyrus, medial (AAL) (L)","Superior frontal gyrus, medial (AAL) (R)","Superior frontal gyrus, medial orbital (AAL) (L)","Superior frontal gyrus, medial orbital (AAL) (R)","Superior frontal gyrus, orbital part (AAL) (L)","Superior frontal gyrus, orbital part (AAL) (R)",Superior occipital gyrus (AAL) (L),Superior occipital gyrus (AAL) (R),Superior parietal gyrus (AAL) (L),Superior parietal gyrus (AAL) (R),Superior temporal gyrus (AAL) (L),Superior temporal gyrus (AAL) (R),Supplementary motor area (AAL) (L),Supplementary motor area (AAL) (R),Supramarginal gyrus (AAL) (L),Supramarginal gyrus (AAL) (R),Temporal pole: middle temporal gyrus (AAL) (L),Temporal pole: middle temporal gyrus (AAL) (R),Temporal pole: superior temporal gyrus (AAL) (L),Temporal pole: superior temporal gyrus (AAL) (R),Thalamus (AAL) (L),Thalamus (AAL) (R),Vermis_10 (AAL),Vermis_1_2 (AAL),Vermis_3 (AAL),Vermis_4_5 (AAL),Vermis_6 (AAL),Vermis_7 (AAL),Vermis_8 (AAL),Vermis_9 (AAL)
0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0
1,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,0,0,True,True,True,0,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,0,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,True,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,0,True,True,True,0,0,0
3,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,0,True,0,0,0,True,True,True,True,0,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,0,True,0,True,True,True,0,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,0,0,True,True,True,True,0,True,True,True,True,True,0,True,True,True,0,True,True,0,True,True,True,True,True,True
4,0,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,0,True,True,True,True,0,True,True,True,True,0,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,0,0,0,True,True,True,True,0,True,True,True,True,True,True,True,True,True,0,0,0,True,True,True,True,True,True,True,True,True,True,0,0,True,True,0,True,True,True,True,True,True,0,True,True,True,True,True,True
5,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,True,0,0,0,True,0,0,0,0,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,0,True,True,True,True,True,True,True,True,True,True,0,True,True,True,0,True,True,True,True,True,True,True,True,0
6,0,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,0,0,True,True,True,True,0,True,True,True,True,True,0,0,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,0,True,True,True,True,True,True,0,True,True,True,0,True,True,True,0,0,True,True,True,True,True,True,0,0
7,0,True,True,True,True,True,True,0,True,True,True,0,0,0,0,True,True,0,True,0,0,0,0,True,0,0,0,True,True,True,True,True,True,True,True,0,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,0,0,True,0,0,True,True,0,0,0
8,0,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0,True,0,0,0,0,0,0,True,0,0,0,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,0
9,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True
10,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,True,0,0,0,True,True,True,True,True,True,True,True,0,True,True,True,True,0,0,True,True,True,True,0,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,True,0,0,True,True,True,True,True,True,True,True
11,0,True,True,True,True,True,True,True,True,True,True,0,0,True,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,0,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,0,0,True,0,0,True,True,0,0,0
12,0,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,True,True,0,0,True,True,0,True,True,0,True,0,0,0,True,True,True,0,0,True,True,True,0,True,True,True,True,True,True,True,0,0,True,True,0,True,0,True,0,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,0,0,True,0,0,True,True,True,True,True,True,0,True,True,True,0,True,True,True,0,0,True,True,True,True,True,True,0,0
13,0,True,True,0,True,True,True,0,True,True,True,0,0,0,0,0,0,0,True,0,0,0,0,0,0,0,True,True,True,True,True,0,True,True,True,0,0,True,True,True,0,0,True,True,True,True,0,True,True,0,True,0,0,True,True,True,True,True,0,0,True,0,True,True,True,True,True,0,True,True,0,True,True,True,True,True,True,0,True,True,0,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,0,0,True,0,0,0,True,True,0,0
14,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True
15,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,0,0,0,True,True,0,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True
16,0,True,True,0,0,True,True,0,0,True,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True,True,True,0,0,True,True,0,0,True,True,0,True,0,True,True,True,True,True,True,True,0,True,0,0,0,0,True,True,0,0,0,0,0,0,True,True,0,True,0,0,True,True,True,True,True,True,0,True,True,True,True,True,True,True,0,0,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,0,True,0,True,0,0,True,True,True,True,True,0,0,0
17,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,True,0,True,0,0,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,0,0,True,True,True,True,True,True,True,True
18,0,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,0,0,True,0,0,0,0,0,0,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,True,True,True,True,0,True,True,True,True,True,0
19,0,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,0,True,0,0,0,0,True,0,0,0,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,0,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,True,True,True,True,True,True,0,True,True,True,True,0,True,0,0,True,True,True,0,True,True,True,True,0,0
